upper,employer,employee
30.0,0.4,0.1
50.0,0.7,0.2
70.0,1.1,0.3
100.0,1.5,0.4
140.0,2.1,0.6
200.0,2.95,0.85
300.0,4.35,1.25
400.0,6.15,1.75
500.0,7.85,2.25
600.0,9.65,2.75
700.0,11.35,3.25
800.0,13.15,3.75
900.0,14.85,4.25
1000.0,16.65,4.75
1100.0,18.35,5.25
1200.0,20.15,5.75
1300.0,21.85,6.25
1400.0,23.65,6.75
1500.0,25.35,7.25
1600.0,27.15,7.75
1700.0,28.85,8.25
1800.0,30.65,8.75
1900.0,32.35,9.25
2000.0,34.15,9.75
2100.0,35.85,10.25
2200.0,37.65,10.75
2300.0,39.35,11.25
2400.0,41.15,11.75
2500.0,42.85,12.25
2600.0,44.65,12.75
2700.0,46.35,13.25
2800.0,48.15,13.75
2900.0,49.85,14.25
3000.0,51.65,14.75
3100.0,53.35,15.25
3200.0,55.15,15.75
3300.0,56.85,16.25
3400.0,58.65,16.75
3500.0,60.35,17.25
3600.0,62.15,17.75
3700.0,63.85,18.25
3800.0,65.65,18.75
3900.0,67.35,19.25
4000.0,69.15,19.75
4100.0,70.85,20.25
4200.0,72.65,20.75
4300.0,74.35,21.25
4400.0,76.15,21.75
4500.0,77.85,22.25
4600.0,79.65,22.75
4700.0,81.35,23.25
4800.0,83.15,23.75
4900.0,84.85,24.25
5000.0,86.65,24.75
5000.0,86.65,24.75
